config,signal,horizon_bars,n_events,mean_bp,se_bp,t_stat,ci95_lo_bp,ci95_hi_bp
delta50_bar5m,H6,12,298,-2.851335711754893,6.002717013079759,-0.4750075183524243,-15.36888835473806,8.161762336534592
delta50_bar5m,H6,48,298,-3.8395178728044153,9.972691140267074,-0.38500318708372144,-23.733193215175323,15.359756054671605
bar3m_delta25,H1,1,4691,0.30041973072690153,0.21670387514323636,1.38631452957789,-0.1256846323378548,0.7237945582236316
bar3m_delta25,H1,3,4691,0.6365724117968713,0.3793124505287922,1.6782270418738903,-0.1131084335492498,1.3737963725236155
bar3m_delta25,H1,6,4691,0.5684471199036045,0.4806893020902671,1.1825666130528065,-0.3969942634118784,1.4873078007819687
bar3m_delta25,H1,12,4691,0.8392616267875975,0.6495322270908963,1.2921015952456356,-0.4385504265277238,2.1076159036685893
bar3m_delta25,H1,48,4691,1.2584293841214693,1.1569788685360514,1.0876857117656655,-1.049494489808939,3.4858626748523824
bar3m_delta25,H2,1,1613,0.4608452384576781,0.5890333628131539,0.7823754434837707,-0.7111952902009641,1.5978154920265994
bar3m_delta25,H2,3,1613,0.6262548922705803,0.9406378324077421,0.6657768491700587,-1.2367349950585609,2.450565307979788
bar3m_delta25,H2,6,1613,0.6276712065839358,1.0959573071526914,0.5727150158929386,-1.5263641306855928,2.7697885133529576
bar3m_delta25,H2,12,1613,1.0804421661798056,1.4610221696817172,0.739511137202784,-1.840810673439468,3.886396231712863
bar3m_delta25,H2,48,1613,0.1173086820531281,2.5222752811128415,0.04650907176213172,-4.913443392864191,4.973875709098147
bar3m_delta25,H3,1,178,-3.781318140000336,1.8691118517569556,-2.023056103595896,-7.4678911066679134,-0.14097264778064864
bar3m_delta25,H3,3,178,0.4710504170327013,2.9134629852355656,0.16168059090498962,-5.206771872352231,6.214003029771185
bar3m_delta25,H3,6,178,-0.03675627309000552,3.894197847874682,-0.009438727698456774,-7.643093868168799,7.622161695499951
bar3m_delta25,H3,12,178,8.754335293883283,5.728091316677987,1.528316294189313,-2.333285295592287,20.12083266578542
bar3m_delta25,H3,48,178,6.909197557576157,8.222948570415948,0.8402335851197794,-9.15728227258776,23.076676123442752
bar3m_delta25,H6,1,446,-1.2193805242272966,0.9783340011950524,-1.2463846935073313,-3.1513864513568057,0.6836828333278001
bar3m_delta25,H6,3,446,-2.865581176933036,2.0591138102852566,-1.3916574997552256,-6.975867981005273,1.0958581553129334
bar3m_delta25,H6,6,446,-4.026825557798906,2.756697485431945,-1.4607426382760842,-9.447970648830763,1.3582834940624602
bar3m_delta25,H6,12,446,-1.838291250642023,3.349043832205051,-0.5489003258078201,-8.505673515208446,4.622578307035353
bar3m_delta25,H6,48,446,-2.8792383961922385,5.502711117179495,-0.5232399693313429,-13.66364920155457,7.906978377789049
bar15m_delta25,H1,1,4435,0.40989873193620624,0.427898857669912,0.9579336906115525,-0.42928224850294927,1.2480812735631057
bar15m_delta25,H1,3,4435,0.2676202690704232,0.7157042059625389,0.3739258018059361,-1.1687796024172723,1.6367808849558803
bar15m_delta25,H1,6,4435,1.0985876532610808,1.0166557087686423,1.0805896664778218,-0.9003603856260651,3.084929992747013
bar15m_delta25,H1,12,4435,1.095449353378745,1.3210218992705545,0.8292439012431462,-1.5051190340620166,3.6732868110785555
bar15m_delta25,H1,48,4435,0.22445865474350685,2.5243172295573224,0.08891856067665041,-4.779173814549208,5.116149725315495
bar15m_delta25,H2,1,147,2.9139371653335915,3.3056158777642852,0.8815111232174982,-3.5971867167943734,9.360827524041627
bar15m_delta25,H2,3,147,7.077555445612823,5.225915079781339,1.354318877663232,-3.433860100848909,17.05172701189394
bar15m_delta25,H2,6,147,-0.579405943336894,7.383620469220526,-0.07847179385129754,-15.400429581974976,13.54336265736949
bar15m_delta25,H2,12,147,-17.54739563580525,10.038978334001198,-1.7479264375313626,-37.97780329294616,1.3749917763385344
bar15m_delta25,H2,48,147,-3.7839074435615987,14.905762633729088,-0.2538553401487348,-33.46626637021032,24.9643231540077
